"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24793","loginPage","Default Suite","Thu May 15 17:44:36 IST 2025","passed","Thu May 15 17:45:01 IST 2025","MetaMaskAutomation","AssetifyTestSheet","MetaMaskAutomation","loginPage"
"","471","testInvalidEmailFormat","Default Suite","Thu May 15 17:44:16 IST 2025","passed","Thu May 15 17:44:16 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testInvalidEmailFormat"
"","478","testPasswordTooShort","Default Suite","Thu May 15 17:44:21 IST 2025","passed","Thu May 15 17:44:21 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testPasswordTooShort"
"","702","login","Default Suite","Thu May 15 17:44:29 IST 2025","passed","Thu May 15 17:44:30 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","login"
"","1137","Signup","Default Suite","Thu May 15 17:44:32 IST 2025","passed","Thu May 15 17:44:33 IST 2025","AssetifySignup","AssetifyTestSheet","AssetifySignup","Signup"
"","693","forgetpassword","Default Suite","Thu May 15 17:44:26 IST 2025","passed","Thu May 15 17:44:27 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","forgetpassword"
"","487","testValidEmailFormat","Default Suite","Thu May 15 17:44:18 IST 2025","passed","Thu May 15 17:44:19 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testValidEmailFormat"
"","15851","profiledetails","Default Suite","Thu May 15 17:45:03 IST 2025","broken","Thu May 15 17:45:18 IST 2025","AssetifyDashboardSettings","AssetifyTestSheet","AssetifyDashboardSettings","profiledetails"
"","1108","login","Default Suite","Thu May 15 17:44:12 IST 2025","passed","Thu May 15 17:44:13 IST 2025","LoginTest","AssetifyTestSheet","LoginTest","login"
"","479","testPasswordMinLength","Default Suite","Thu May 15 17:44:23 IST 2025","passed","Thu May 15 17:44:24 IST 2025","AssetifyLogin","AssetifyTestSheet","AssetifyLogin","testPasswordMinLength"
